2013-05-17 01:28:08.052
antenna	 u coordinate	 v coordinate	 w coordinate
16	5129.68434618	-1567.2880688	-3926.22557974
17	7011.20010092	-3344.95745508	-5317.49178541
18	8451.25386801	-5914.43014858	-6297.60056788
19	11100.1630111	-6286.21538148	-8318.74910396
20	-1388.63951078	-1518.84139678	1166.90346367
21	-2496.31743005	-2955.30513148	2115.37457949
22	-4722.07241891	-4725.10849207	3913.9716495
23	-6472.72788743	-5758.52842729	5304.48513599
24	-7643.35394331	-7437.04155388	6262.13913184
25	-565.947883347	2863.60810221	346.016396824
26	-134.445230507	4617.53221991	-66.7180448764
27	-1142.05459514	6628.15435695	631.132283451
28	-2186.00678748	9120.3241524	1334.27195459
29	-2169.32852992	13955.6208581	1111.64880597
2013-05-17 01:28:10.315
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.062728485	108.099379385	-214.342503492
2	528.123428772	145.895665501	-416.450674835
3	844.982164871	97.6349041086	-654.466033305
4	992.044325968	153.826941024	-766.950478277
5	425.20672033	380.725923249	-339.480927082
6	505.858425043	378.383343505	-403.360675414
7	229.672898558	486.533791408	-190.546975012
8	464.723108355	290.241571166	-368.936181375
9	529.55487676	785.19656156	-431.552659955
10	920.91803845	619.311239126	-731.771864826
11	259.306761531	752.66283608	-221.893750721
12	775.901916339	1442.52229182	-644.385485735
13	754.279992175	902.636084404	-613.295581622
14	1870.5906617	-74.713130337	-1452.62149695
15	3200.41813253	-558.039938867	-2470.05355654
16	5129.62847913	-1567.25309778	-3926.31252941
17	7011.13277017	-3344.90965702	-5317.61062741
18	8451.18744097	-5914.37253306	-6297.74381936
19	11100.0648589	-6286.13970734	-8318.9372552
20	-1388.6093765	-1518.85086362	1166.9270014
21	-2496.26142566	-2955.32214974	2115.41689256
22	-4721.97386173	-4725.14068408	3914.05168963
23	-6472.59871495	-5758.57255416	5304.59485015
24	-7643.19709491	-7437.0936613	6262.26868833
25	-565.961540558	2863.60424386	346.025989976
26	-134.477841037	4617.53130323	-66.715765701
27	-1142.08908393	6628.14657096	631.151642013
28	-2186.04634777	9120.30924934	1334.30900859
29	-2169.404828	13955.6060686	1111.68557758
2013-05-17 01:28:10.566
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.058358292	108.101227318	-214.347098073
2	528.115375051	145.899265912	-416.459626664
3	844.970405658	97.6406646667	-654.480355982
4	992.030276991	153.833704158	-766.967293695
5	425.198370356	380.728822033	-339.488134431
6	505.84900824	378.386792123	-403.369249832
7	229.66635177	486.535357162	-190.550868001
8	464.714875967	290.24473935	-368.944058543
9	529.542208672	785.200171714	-431.561636009
10	920.901412374	619.317517354	-731.787474604
11	259.297869083	752.664603852	-221.898145996
12	775.881159345	1442.5275814	-644.398637398
13	754.263442801	902.641226591	-613.308366821
14	1870.56654824	-74.7003778173	-1452.65320398
15	3200.38006802	-558.018120403	-2470.10780455
16	5129.57261037	-1567.21812714	-3926.39947813
17	7011.06543709	-3344.86185941	-5317.72946826
18	8451.12101111	-5914.31491799	-6297.88706971
19	11099.9667031	-6286.06403387	-8319.12540479
20	-1388.57924176	-1518.86033025	1166.95053861
21	-2496.20542043	-2955.33916761	2115.45920469
22	-4721.87530297	-4725.17287542	3914.13172809
23	-6472.46954032	-5758.61668014	5304.70456213
24	-7643.04024395	-7437.14576765	6262.39824216
25	-565.975197581	2863.60038542	346.03558336
26	-134.510451522	4617.53038632	-66.7134859729
27	-1142.12357233	6628.13878474	631.171001159
28	-2186.08590732	9120.29434601	1334.34606327
29	-2169.48112537	13955.5912786	1111.72235048
2013-05-17 01:28:10.825
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.053837307	108.103138943	-214.351851011
2	528.10704343	145.902990418	-416.468887033
3	844.958240658	97.6466237803	-654.495172334
4	992.015743218	153.840700404	-766.984688705
5	425.189732304	380.731820716	-339.49559016
6	505.839266542	378.39035959	-403.378119751
7	229.659579149	486.536976861	-190.554895115
8	464.706359541	290.248016724	-368.95220719
9	529.529103567	785.203906266	-431.570921356
10	920.884212661	619.324011953	-731.803622353
11	259.288669909	752.666432519	-221.902692674
12	775.85968632	1442.53305323	-644.412242197
13	754.246322494	902.646545976	-613.321592594
14	1870.54160263	-74.6871857286	-1452.68600394
15	3200.34068982	-557.995549851	-2470.1639225
16	5129.5148133	-1567.18195102	-3926.48942409
17	7010.99577971	-3344.8124141	-5317.85240588
18	8451.0522876	-5914.25531668	-6298.03525855
19	11099.8651587	-6285.98575168	-8319.32004054
20	-1388.5480674	-1518.8701231	1166.97488692
21	-2496.14748311	-2955.3567719	2115.50297486
22	-4721.77334398	-4725.2061761	3914.21452474
23	-6472.33590912	-5758.66232678	5304.81805496
24	-7642.87798166	-7437.19966964	6262.53226057
25	-565.989325337	2863.59639383	346.045507794
26	-134.544186459	4617.52943757	-66.7111270519
27	-1142.15924958	6628.13072979	631.191028478
28	-2186.12683023	9120.27892849	1334.38439639
29	-2169.56005291	13955.5759781	1111.76039278
2013-05-17 01:28:11.076
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.049464538	108.104987827	-214.356447956
2	528.098984942	145.906592689	-416.477843484
3	844.946474434	97.6523873282	-654.509502445
4	992.001685877	153.847467045	-767.001512842
5	425.181377471	380.734720971	-339.502801165
6	505.829844241	378.393809964	-403.386698536
7	229.653028621	486.538543381	-190.558790009
8	464.698122331	290.251186528	-368.960088385
9	529.516428184	785.207518221	-431.579901885
10	920.867576859	619.330293387	-731.819240102
11	259.279772418	752.668201136	-221.907090048
12	775.838917437	1442.53834541	-644.425400343
13	754.22976355	902.651690747	-613.33438422
14	1870.5174747	-74.6744265636	-1452.71772749
15	3200.3026023	-557.973719973	-2470.21819889
16	5129.45891048	-1567.14696201	-3926.57641848
17	7010.928405	-3344.76459126	-5317.97130946
18	8450.98581564	-5914.197671	-6298.17858501
19	11099.7669416	-6285.91003816	-8319.50828972
20	-1388.51791522	-1518.87959449	1166.99843597
21	-2496.09144554	-2955.37379831	2115.54530821
22	-4721.67472807	-4725.2383837	3914.2946036
23	-6472.20665938	-5758.70647512	5304.92782253
24	-7642.72103966	-7437.25180233	6262.66187991
25	-566.00298945	2863.59253308	346.0551069
26	-134.576814702	4617.52851971	-66.7088449506
27	-1142.19375609	6628.12293883	631.21039941
28	-2186.16640995	9120.26401645	1334.42147271
29	-2169.63639055	13955.5611789	1111.79718844
2013-05-17 01:28:11.326
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.045094071	108.10683567	-214.361042313
2	528.090930686	145.910192934	-416.486794899
3	844.934714365	97.658147643	-654.523824517
4	991.987635894	153.854229889	-767.018327537
5	425.173027067	380.737619582	-339.510008084
6	505.820426926	378.397258386	-403.395272469
7	229.646481599	486.540109	-190.562682662
8	464.689889472	290.254354542	-368.96796513
9	529.50375956	785.211128114	-431.588877288
10	920.85094985	619.336571271	-731.834849024
11	259.270879708	752.669968725	-221.911484865
12	775.818159657	1442.54363456	-644.438550938
13	754.213213412	902.656832592	-613.347168568
14	1870.49335934	-74.6616745429	-1452.74943329
15	3200.26453455	-557.951902296	-2470.27244494
16	5129.40303652	-1567.11199253	-3926.66336433
17	7010.86106481	-3344.71679505	-5318.09014685
18	8450.91937722	-5914.1400573	-6298.32183195
19	11099.6687746	-6285.83436672	-8319.69643426
20	-1388.48777907	-1518.8890605	1167.02197164
21	-2496.03543778	-2955.39081502	2115.58761746
22	-4721.57616453	-4725.270573	3914.37463699
23	-6472.07747819	-5758.75059843	5305.03752785
24	-7642.56418096	-7437.30390544	6262.79142567
25	-566.016645899	2863.58867436	346.064700987
26	-134.609425051	4617.52760213	-66.7065635449
27	-1142.22824333	6628.1151519	631.229760331
28	-2186.20596729	9120.2491123	1334.45852941
29	-2169.71268572	13955.5463873	1111.83396527
2013-05-17 01:28:11.577
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.040723513	108.108683483	-214.365636596
2	528.082876253	145.913793124	-416.495746178
3	844.922954014	97.6639078775	-654.538146389
4	991.973585581	153.860992638	-767.035141995
5	425.164676522	380.740518137	-339.517214861
6	505.811009442	378.400706745	-403.403846242
7	229.639934501	486.541674574	-190.566575204
8	464.681656458	290.2575225	-368.975841734
9	529.491090758	785.21473792	-431.597852475
10	920.834322533	619.342849042	-731.850457665
11	259.261986912	752.671736253	-221.915879532
12	775.797401618	1442.54892357	-644.451701182
13	754.196663022	902.661974324	-613.359952635
14	1870.46924336	-74.6489226867	-1452.78113867
15	3200.22646573	-557.930084879	-2470.32669035
16	5129.34716086	-1567.07702342	-3926.75030924
17	7010.79372229	-3344.6689993	-5318.20898311
18	8450.85293598	-5914.08244407	-6298.46507775
19	11099.5706038	-6285.75869595	-8319.88457713
20	-1388.45764246	-1518.8985263	1167.04550679
21	-2495.97942919	-2955.40783135	2115.62992576
22	-4721.47759942	-4725.30276163	3914.45466871
23	-6471.94829484	-5758.79472086	5305.14723099
24	-7642.40731971	-7437.35600747	6262.92096878
25	-566.03030216	2863.58481554	346.074295305
26	-134.642035355	4617.52668433	-66.7042815864
27	-1142.26273019	6628.10736473	631.249121837
28	-2186.24552391	9120.23420788	1334.49558679
29	-2169.78898015	13955.5315952	1111.87074339
2013-05-17 01:28:11.827
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.036352864	108.110531267	-214.370230805
2	528.074821645	145.917393259	-416.50469732
3	844.911193381	97.6696680319	-654.552468062
4	991.959534936	153.86775529	-767.051956214
5	425.156325834	380.743416635	-339.524421497
6	505.801591789	378.404155038	-403.412419856
7	229.633387326	486.543240104	-190.570467634
8	464.673423289	290.260690402	-368.983718199
9	529.47842178	785.21834764	-431.606827447
10	920.81769491	619.3491267	-731.866066024
11	259.253094029	752.67350372	-221.920274048
12	775.776643319	1442.55421243	-644.464851074
13	754.180112381	902.667115943	-613.372736421
14	1870.44512676	-74.6361709948	-1452.81284365
15	3200.18839584	-557.908267721	-2470.38093511
16	5129.29128348	-1567.0420547	-3926.83725319
17	7010.72637742	-3344.621204	-5318.32781822
18	8450.78649192	-5914.02483128	-6298.60832244
19	11099.4724293	-6285.68302585	-8320.07271834
20	-1388.42750538	-1518.90799189	1167.06904143
21	-2495.92341977	-2955.4248473	2115.6722331
22	-4721.37903273	-4725.33494959	3914.53469876
23	-6471.81910933	-5758.83884241	5305.25693194
24	-7642.25045591	-7437.40810843	6263.05050923
25	-566.043958231	2863.58095662	346.083889855
26	-134.674645614	4617.52576631	-66.7019990751
27	-1142.29721667	6628.09957733	631.268483926
28	-2186.28507979	9120.21930319	1334.53264484
29	-2169.86527387	13955.5168026	1111.9075228
2013-05-17 01:28:12.078
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.031982125	108.11237902	-214.374824939
2	528.06676686	145.920993339	-416.513648325
3	844.899432466	97.6754281062	-654.566789536
4	991.945483961	153.874517847	-767.068770194
5	425.147975004	380.746315075	-339.531627991
6	505.792173967	378.407603268	-403.42099331
7	229.626840075	486.544805589	-190.574359954
8	464.665189965	290.263858248	-368.991594525
9	529.465752624	785.221957274	-431.615802205
10	920.801066978	619.355404244	-731.881674101
11	259.24420106	752.675271127	-221.924668414
12	775.755884762	1442.55950116	-644.478000613
13	754.163561488	902.672257449	-613.385519927
14	1870.42100953	-74.6234194673	-1452.84454822
15	3200.15032488	-557.886450823	-2470.43517922
16	5129.23540438	-1567.00708636	-3926.9241962
17	7010.65903021	-3344.57340917	-5318.44665218
18	8450.72004504	-5913.96721895	-6298.75156599
19	11099.3742511	-6285.60735642	-8320.26085788
20	-1388.39736784	-1518.91745728	1167.09257556
21	-2495.86740951	-2955.44186287	2115.7145395
22	-4721.28046446	-4725.36713688	3914.61472713
23	-6471.68992166	-5758.88296308	5305.36663069
24	-7642.09358956	-7437.46020833	6263.18004701
25	-566.057614114	2863.57709762	346.093484636
26	-134.707255828	4617.52484807	-66.6997160111
27	-1142.33170278	6628.09178969	631.287846601
28	-2186.32463494	9120.20439824	1334.56970356
29	-2169.94156686	13955.5020095	1111.94430351
2013-05-17 01:28:12.328
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.027611296	108.114226744	-214.379419
2	528.058711899	145.924593365	-416.522599194
3	844.887671269	97.6811881002	-654.58111081
4	991.931432654	153.881280308	-767.085583937
5	425.139624032	380.749213459	-339.538834344
6	505.782755976	378.411051434	-403.429566604
7	229.620292747	486.546371029	-190.578252163
8	464.656956486	290.267026037	-368.999470711
9	529.453083293	785.225566821	-431.624776748
10	920.78443874	619.361681675	-731.897281897
11	259.235308004	752.677038473	-221.929062629
12	775.735125946	1442.56478974	-644.491149802
13	754.147010343	902.677398842	-613.398303153
14	1870.39689167	-74.6106681043	-1452.87625238
15	3200.11225286	-557.864634185	-2470.48942269
16	5129.17952358	-1566.9721184	-3927.01113826
17	7010.59168066	-3344.52561479	-5318.56548501
18	8450.65359534	-5913.90960707	-6298.89480842
19	11099.2760692	-6285.53168767	-8320.44899576
20	-1388.36722984	-1518.92692247	1167.11610918
21	-2495.81139842	-2955.45887805	2115.75684495
22	-4721.18189462	-4725.39932349	3914.69475384
23	-6471.56073183	-5758.92708286	5305.47632726
24	-7641.93672066	-7437.51230716	6263.30958214
25	-566.071269807	2863.57323852	346.103079648
26	-134.739865997	4617.5239296	-66.6974323944
27	-1142.36618849	6628.08400182	631.30720986
28	-2186.36418936	9120.18949301	1334.60676294
29	-2170.01785912	13955.4872158	1111.98108551
2013-05-17 01:28:12.579
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.023240376	108.116074438	-214.384012986
2	528.050656761	145.928193335	-416.531549926
3	844.87590979	97.6869480141	-654.595431885
4	991.917381016	153.888042673	-767.102397442
5	425.131272919	380.752111786	-339.546040555
6	505.773337817	378.414499535	-403.438139738
7	229.613745342	486.547936424	-190.582144261
8	464.648722852	290.270193771	-369.007346757
9	529.440413784	785.229176281	-431.633751077
10	920.767810194	619.367958992	-731.91288941
11	259.226414861	752.678805759	-221.933456692
12	775.714366871	1442.57007818	-644.504298638
13	754.130458947	902.682540122	-613.411086098
14	1870.3727732	-74.5979169057	-1452.90795613
15	3200.07417976	-557.842817806	-2470.54366552
16	5129.12364107	-1566.93715082	-3927.09807938
17	7010.52432877	-3344.47782087	-5318.6843167
18	8450.58714282	-5913.85199564	-6299.03804972
19	11099.1778837	-6285.45601958	-8320.63713197
20	-1388.33709137	-1518.93638745	1167.13964229
21	-2495.7553865	-2955.47589285	2115.79914945
22	-4721.0833232	-4725.43150944	3914.77477887
23	-6471.43153984	-5758.97120177	5305.58602164
24	-7641.77984921	-7437.56440491	6263.43911461
25	-566.084925312	2863.56937933	346.112674892
26	-134.772476121	4617.52301091	-66.6951482248
27	-1142.40067383	6628.07621371	631.326573703
28	-2186.40374305	9120.17458751	1334.643823
29	-2170.09415066	13955.4724216	1112.0178688
2013-05-17 01:28:12.838
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.01871864	108.117985815	-214.388765308
2	528.042323675	145.931917385	-416.540809161
3	844.863742445	97.6929064613	-654.610246581
4	991.90284449	153.895038122	-767.119790472
5	425.122633687	380.755109995	-339.553495108
6	505.763594715	378.418066469	-403.44700833
7	229.606972084	486.549555752	-190.586170452
8	464.640205136	290.273470677	-369.015494244
9	529.42730721	785.232910115	-431.643034639
10	920.750607926	619.374452649	-731.929034817
11	259.217214967	752.680633922	-221.938002117
12	775.692891694	1442.57554883	-644.517900512
13	754.113336548	902.687858569	-613.424309539
