           1  -56621270.7
           2  -19365095.1
           3   60139730.6
           4  -39574504.5
           5  -22517643.5
           6   55947094.2
           7  -30805732.9
           8    -47459397
           9   57171835.6
          10  -23250356.5
          11  -25070098.6
          12   67024494.7
          13  -27507201.3
          14  -38674287.5
          15   56111603.9
          16    -27903585
          17  -17988809.5
          18   73677499.8
          19  -25446754.8
          20  -19427796.7
          21   45249024.6
          22  -10886622.5
          23  -43416070.2
          24   76620680.1
          25  -10878555.4
          26  -22213703.7
          27   47478419.1
          28   -9879624.9
          29  -40061592.8
          30   42642666.9
          31  -4948220.81
          32  -1245919.05
          33   26057727.6
          34   15218726.9
          35  -37647987.3
          36   16507642.4
          37  -1754581.62
          38  -7876154.18
          39   27781198.3
          40   6698186.49
          41  -24144256.8
          42   44522891.1
          43   7927236.29
          44  -46437391.5
          45   15775788.5
          46  -350199.173
          47    -42705275
          48   17965894.8
          49  -8458415.86
          50  -32009564.6
          51     20289626
          52   21199478.2
          53  -70469095.1
          54   8774085.93
          55   59499413.9
          56  -33634456.9
          57   6930820.16
          58   23324887.8
          59  -64538436.2
          60  -9559972.84
          61   47271847.7
          62  -19438042.7
          63    -14280104
          64   30638275.3
