2013-05-17 05:13:08.784308732
2013-05-17 05:13:10.391823649
2013-05-17 05:13:11.999378800
2013-05-17 05:13:13.606893718
2013-05-17 05:13:15.214408636
2013-05-17 05:13:16.821963787
2013-05-17 05:13:18.429478705
2013-05-17 05:13:20.036993623
2013-05-17 05:13:21.644508541
2013-05-17 05:13:23.252063692
2013-05-17 05:13:24.859578609
2013-05-17 05:13:26.467093527
2013-05-17 05:13:28.074608445
2013-05-17 05:13:29.682163596
2013-05-17 05:13:31.289678514
2013-05-17 05:13:32.897193432
2013-05-17 05:13:34.504708350
2013-05-17 05:13:36.112263501
2013-05-17 05:13:37.719778419
2013-05-17 05:13:39.327293336
2013-05-17 05:13:40.934848487
2013-05-17 05:13:42.542363405
2013-05-17 05:13:44.149878323
2013-05-17 05:13:45.757393241
2013-05-17 05:13:47.364948392
2013-05-17 05:13:48.972463310
2013-05-17 05:13:50.579978228
2013-05-17 05:13:52.187493145
2013-05-17 05:13:53.795048296
2013-05-17 05:13:55.402563214
2013-05-17 05:13:57.010078132
2013-05-17 05:13:58.617593050
2013-05-17 05:14:00.225148201
2013-05-17 05:14:01.832663119
2013-05-17 05:14:03.440178037
2013-05-17 05:14:05.047733188
2013-05-17 05:14:06.655248106
2013-05-17 05:14:08.262763023
2013-05-17 05:14:09.870277941
2013-05-17 05:14:11.477833092
2013-05-17 05:14:13.085348010
2013-05-17 05:14:14.692862928
2013-05-17 05:14:16.300377846
2013-05-17 05:14:17.907932997
2013-05-17 05:14:19.515447915
2013-05-17 05:14:21.122962832
2013-05-17 05:14:22.730477750
2013-05-17 05:14:24.338032901
2013-05-17 05:14:25.945547819
2013-05-17 05:14:27.553062737
2013-05-17 05:14:29.160577655
2013-05-17 05:14:30.768132806
2013-05-17 05:14:32.375647724
2013-05-17 05:14:33.983162642
2013-05-17 05:14:35.590677559
2013-05-17 05:14:37.198232710
2013-05-17 05:14:38.805747628
2013-05-17 05:14:40.413262546
2013-05-17 05:14:42.020777464
2013-05-17 05:14:43.628332615
2013-05-17 05:14:45.235847533
2013-05-17 05:14:46.843362451
2013-05-17 05:14:48.450917602
2013-05-17 05:14:50.058432519
2013-05-17 05:14:51.665947437
2013-05-17 05:14:53.273462355
2013-05-17 05:14:54.881017506
2013-05-17 05:14:56.488532424
