['2013', '07', '02', '07', '09', '49', '0.345600', '0']
['2013', '07', '02', '07', '09', '50', '0.352000', '0']
['2013', '07', '02', '07', '09', '51', '0.358656', '0']
['2013', '07', '02', '07', '09', '52', '0.365312', '0']
['2013', '07', '02', '07', '09', '53', '0.371968', '0']
['2013', '07', '02', '07', '09', '54', '0.378624', '0']
['2013', '07', '02', '07', '09', '55', '0.385280', '0']
['2013', '07', '02', '07', '09', '56', '0.391936', '0']
['2013', '07', '02', '07', '09', '57', '0.398592', '0']
['2013', '07', '02', '07', '09', '58', '0.405248', '0']
['2013', '07', '02', '07', '09', '59', '0.411904', '0']
['2013', '07', '02', '07', '10', '00', '0.418560', '0']
['2013', '07', '02', '07', '10', '01', '0.425216', '0']
['2013', '07', '02', '07', '10', '02', '0.431872', '0']
['2013', '07', '02', '07', '10', '03', '0.438272', '0']
['2013', '07', '02', '07', '10', '04', '0.444928', '0']
['2013', '07', '02', '07', '10', '05', '0.199936', '0']
['2013', '07', '02', '07', '10', '06', '0.206336', '0']
['2013', '07', '02', '07', '10', '07', '0.212992', '0']
['2013', '07', '02', '07', '10', '08', '0.219648', '0']
['2013', '07', '02', '07', '10', '09', '0.226304', '0']
['2013', '07', '02', '07', '10', '10', '0.232960', '0']
['2013', '07', '02', '07', '10', '11', '0.239616', '0']
['2013', '07', '02', '07', '10', '11', '0.994816', '0']
['2013', '07', '02', '07', '10', '13', '0.001280', '0']
['2013', '07', '02', '07', '10', '14', '0.007936', '0']
['2013', '07', '02', '07', '10', '15', '0.014592', '0']
['2013', '07', '02', '07', '10', '16', '0.021248', '0']
['2013', '07', '02', '07', '10', '17', '0.027904', '0']
['2013', '07', '02', '07', '10', '18', '0.034560', '0']
['2013', '07', '02', '07', '10', '19', '0.041216', '0']
['2013', '07', '02', '07', '10', '20', '0.047872', '0']
['2013', '07', '02', '07', '10', '21', '0.054528', '0']
['2013', '07', '02', '07', '10', '22', '0.061184', '0']
['2013', '07', '02', '07', '10', '23', '0.067584', '0']
['2013', '07', '02', '07', '10', '23', '0.822528', '0']
['2013', '07', '02', '07', '10', '24', '0.829184', '0']
['2013', '07', '02', '07', '10', '25', '0.835840', '0']
['2013', '07', '02', '07', '10', '26', '0.842496', '0']
['2013', '07', '02', '07', '10', '27', '0.849152', '0']
['2013', '07', '02', '07', '10', '28', '0.855552', '0']
['2013', '07', '02', '07', '10', '29', '0.862208', '0']
['2013', '07', '02', '07', '10', '30', '0.617472', '0']
['2013', '07', '02', '07', '10', '31', '0.624128', '0']
['2013', '07', '02', '07', '10', '32', '0.630784', '0']
['2013', '07', '02', '07', '10', '33', '0.637184', '0']
['2013', '07', '02', '07', '10', '34', '0.643840', '0']
['2013', '07', '02', '07', '10', '35', '0.650496', '0']
['2013', '07', '02', '07', '10', '36', '0.657152', '0']
['2013', '07', '02', '07', '10', '37', '0.663808', '0']
