3 3 0 duplicate
3 1 1 duplicate
4 2 0 duplicate
4 2 1 duplicate
5 1 0  
5 3 1  
6 0 0 duplicate
6 0 1 duplicate
7 3 0 duplicate
7 2 1 duplicate
8 2 0 duplicate
8 1 1 duplicate
9 1 0 duplicate
9 3 1 duplicate
10 0 0 duplicate
10 0 1 duplicate
11 3 0 duplicate
11 2 1 duplicate
12 2 0 duplicate
12 1 1 duplicate
13 1 0 duplicate
13 3 1 duplicate
14 0 0 duplicate
14 0 1 duplicate
15 3 0 duplicate
15 2 1 duplicate
16 2 0 duplicate
16 1 1 duplicate
17 1 0 duplicate
17 3 1 duplicate
18 0 0 duplicate
18 0 1 duplicate
19 3 0 duplicate
19 2 1 duplicate
20 2 0 duplicate
20 1 1 duplicate
21 1 0 duplicate
21 3 1 duplicate
22 0 0 duplicate
22 0 1 duplicate
23 3 0 duplicate
23 2 1 duplicate
24 2 0  
24 1 1  
25 1 0 duplicate
25 3 1 duplicate
26 0 0 duplicate
26 0 1 duplicate
27 3 0 duplicate
27 2 1 duplicate
28 2 0 duplicate
28 1 1 duplicate
29 1 0  
29 3 1  
30 0 0 duplicate
30 0 1 duplicate
31 3 0 duplicate
31 2 1 duplicate
32 2 0 duplicate
32 3 1 duplicate
33 1 0 duplicate
33 1 1 duplicate
34 0 0 duplicate
34 0 1 duplicate
35 3 0 duplicate
35 2 1 duplicate
36 2 0 duplicate
36 3 1 duplicate
37 1 0 duplicate
37 1 1 duplicate
38 0 0 duplicate
38 0 1 duplicate
39 3 0 duplicate
39 2 1 duplicate
40 2 0 duplicate
40 3 1 duplicate
41 1 0 duplicate
41 1 1 duplicate
42 0 0 duplicate
42 0 1 duplicate
43 3 0 duplicate
43 2 1 duplicate
44 2 0  
44 3 1  
45 0 0 duplicate
45 1 1 duplicate
46 1 0 duplicate
46 0 1 duplicate
47 3 0 duplicate
47 2 1 duplicate
48 2 0  
48 3 1  
49 0 0 duplicate
49 1 1 duplicate
50 1 0  
50 2 1  
