111
358G	/mnt/disk3/gsbuser/TSAS
246G	/mnt/disk4/gsbuser/TSAS/node38
14G	/mnt/disk4/gsbuser/TSAS/node46
264G	/mnt/disk4/gsbuser/TSAS

117
157G	/mnt/a/gsbuser/TSAS/node47
161G	/mnt/a/gsbuser/TSAS
306G	/mnt/c/gsbuser/TSAS/node47
306G	/mnt/c/gsbuser/TSAS
315G	/mnt/d/gsbuser/TSAS/node47
320G	/mnt/d/gsbuser/TSAS
349G	/mnt/disk1/gsbuser/TSAS/node39
364G	/mnt/disk1/gsbuser/TSAS
302G	/mnt/disk2/gsbuser/TSAS/node39
309G	/mnt/disk2/gsbuser/TSAS
63G	/mnt/disk3/gsbuser/TSAS/node47
358G	/mnt/disk3/gsbuser/TSAS
246G	/mnt/disk4/gsbuser/TSAS/node39
14G	/mnt/disk4/gsbuser/TSAS/node47
260G	/mnt/disk4/gsbuser/TSAS

118
344G	/mnt/a/gsbuser/TSAS/node48
348G	/mnt/a/gsbuser/TSAS
223G	/mnt/b/gsbuser/TSAS/node48
224G	/mnt/b/gsbuser/TSAS
445G	/mnt/c/gsbuser/TSAS/node48
445G	/mnt/c/gsbuser/TSAS
441G	/mnt/d/gsbuser/TSAS/node48
441G	/mnt/d/gsbuser/TSAS
6.7G	/mnt/disk1/gsbuser/TSAS/node48
12G	/mnt/disk1/gsbuser/TSAS
340G	/mnt/disk2/gsbuser/TSAS/node40
346G	/mnt/disk2/gsbuser/TSAS
333G	/mnt/disk3/gsbuser/TSAS
326G	/mnt/disk4/gsbuser/TSAS/node40
13G	/mnt/disk4/gsbuser/TSAS/node48
339G	/mnt/disk4/gsbuser/TSAS
