111
25M	/mnt/disk1/gsbuser/EoR
32G	/mnt/disk2/gsbuser/EoR
70G	/mnt/disk3/gsbuser/EoR/2013/Jan13/B0329+54_jan13_6
14M	/mnt/disk3/gsbuser/EoR/2013/Jul28/B0329+54_jul28_5
53G	/mnt/disk4/gsbuser/EoR/2013/Jan16/B1508+55_jan16_2
149M	/mnt/disk4/gsbuser/EoR/2013/Jul28/cal.B0329+54_jul28_1
119G	/mnt/disk4/gsbuser/EoR/2013/Jul28/B0329+54_jul28_4
1.1G	/mnt/disk4/gsbuser/EoR/2013/Jul28/B0329+54_jul28_6
336G	/mnt/a/gsbuser/EoR/2013/Jan12/B0329+54_jan12_2
60G	/mnt/a/gsbuser/EoR/2013/Jan12/B0329+54_jan12_14
71G	/mnt/a/gsbuser/EoR/2013/Jan12/B0329+54_jan12_6
92G	/mnt/b/gsbuser/EoR/2013/Jan13/B1508+55_jan16_3
4.4G	/mnt/b/gsbuser/EoR/2013/Jan13/B0329+54_jan13_6
96G	/mnt/b/gsbuser/EoR/2013/Jan13
59G	/mnt/b/gsbuser/EoR/2013/Jan16/B1508+55_jan16_3
85G	/mnt/b/gsbuser/EoR/2013/Jan16/B1508+55_jan16_4
143G	/mnt/b/gsbuser/EoR/2013/Jan16
239G	/mnt/b/gsbuser/EoR/2013
358G	/mnt/b/gsbuser/EoR
88G	/mnt/c/gsbuser/EoR/2013/Jan12/B0329+54_jan12_15
60G	/mnt/c/gsbuser/EoR/2013/Jan12/B0329+54_jan12_14
148G	/mnt/c/gsbuser/EoR/2013/Jan12
148G	/mnt/c/gsbuser/EoR/2013
148G	/mnt/c/gsbuser/EoR
32G	/mnt/d/gsbuser/EoR/2013/Jan13/B0329+54_jan13_4
36G	/mnt/d/gsbuser/EoR/2013/Jan13/B0329+54_jan13_1
5.5G	/mnt/d/gsbuser/EoR/2013/Jan13/cal_jan13_8
5.0G	/mnt/d/gsbuser/EoR/2013/Jan13/cal_jan13_1
3.7G	/mnt/d/gsbuser/EoR/2013/Jan13/B3029+54_jan13_7
82G	/mnt/d/gsbuser/EoR/2013/Jan13
29G	/mnt/d/gsbuser/EoR/2013/Jan16/B1508+55_jan16_2
29G	/mnt/d/gsbuser/EoR/2013/Jan16
2.6G	/mnt/d/gsbuser/EoR/2013/Jan15/cal_b1508+55_jan15_4
11G	/mnt/d/gsbuser/EoR/2013/Jan15/cal_b1508+55_jan15_5
13G	/mnt/d/gsbuser/EoR/2013/Jan15
123G	/mnt/d/gsbuser/EoR/2013
186G	/mnt/d/gsbuser/EoR

112
53G	/mnt/disk1/gsbuser/EoR
60G	/mnt/disk2/gsbuser/EoR
97G	/mnt/disk3/gsbuser/EoR
257G	/mnt/disk4/gsbuser/EoR
16G	/mnt/d/gsbuser/EoR

113
6.2M	/mnt/disk1/gsbuser/EoR
94M	/mnt/disk2/gsbuser/EoR
8.4G	/mnt/disk3/gsbuser/EoR
12G	/mnt/disk4/gsbuser/EoR
65G	/mnt/a/gsbuser/EoR
24G	/mnt/c/gsbuser/EoR
14G	/mnt/d/gsbuser/EoR

114
6.2M	/mnt/disk1/gsbuser/EoR
65G	/mnt/disk2/gsbuser/EoR
11G	/mnt/disk3/gsbuser/EoR
34G	/mnt/disk4/gsbuser/EoR
14G	/mnt/d/gsbuser/EoR

115
164G	/mnt/disk1/gsbuser/EoR
42G	/mnt/disk2/gsbuser/EoR
28G	/mnt/disk3/gsbuser/EoR
20G	/mnt/disk4/gsbuser/EoR
14G	/mnt/d/gsbuser/EoR

116
6.2M	/mnt/disk1/gsbuser/EoR
94M	/mnt/disk2/gsbuser/EoR
8.4G	/mnt/disk3/gsbuser/EoR
34G	/mnt/disk4/gsbuser/EoR
79G	/mnt/d/gsbuser/EoR

117
24G	/mnt/disk1/gsbuser/EoR
92G	/mnt/disk2/gsbuser/EoR
8.4G	/mnt/disk3/gsbuser/EoR
13G	/mnt/disk4/gsbuser/EoR
79G	/mnt/d/gsbuser/EoR

118
32G	/mnt/disk1/gsbuser/EoR
94M	/mnt/disk2/gsbuser/EoR
8.2G	/mnt/disk3/gsbuser/EoR
8.8G	/mnt/disk4/gsbuser/EoR
56G	/mnt/b/gsbuser/EoR
14G	/mnt/d/gsbuser/EoR

