16474.98681580 4.80728736
16474.98682750 4.80736107
16474.98683910 4.80743416
16474.98685080 4.80750787
16474.98686240 4.80758095
16474.98687410 4.80765467
16474.98688570 4.80772775
16474.98689740 4.80780147
16474.98690900 4.80787455
16474.98692070 4.80794827
16474.98693240 4.80802198
16474.98694400 4.80809507
16474.98695570 4.80816878
16474.98696730 4.80824186
16474.98697900 4.80831558
16474.98699060 4.80838866
16474.98700230 4.80846238
16474.98701390 4.80853546
16474.98702560 4.80860918
16474.98703720 4.80868226
16474.98704890 4.80875598
16474.98706050 4.80882906
16474.98707220 4.80890278
16474.98708380 4.80897586
16474.98709550 4.80904957
16474.98710710 4.80912266
16474.98711880 4.80919637
16474.98713040 4.80926946
16474.98714210 4.80934317
16474.98715370 4.80941626
16474.98716540 4.80948997
16474.98717700 4.80956306
16474.98718870 4.80963677
16474.98720030 4.80970986
16474.98721200 4.80978357
16474.98722360 4.80985665
16474.98723530 4.80993037
16474.98724690 4.81000345
16474.98725860 4.81007717
16474.98727020 4.81015025
16474.98728190 4.81022397
16474.98729350 4.81029705
16474.98730520 4.81037077
16474.98731680 4.81044385
16474.98732850 4.81051757
16474.98734010 4.81059065
16474.98735180 4.81066436
16474.98736340 4.81073745
16474.98737510 4.81081116
16474.98738670 4.81088425
16474.98739840 4.81095796
16474.98741000 4.81103105
16474.98742170 4.81110476
16474.98743330 4.81117785
16474.98744500 4.81125156
16474.98745660 4.81132465
16474.98746830 4.81139836
16474.98747990 4.81147144
16474.98749160 4.81154516
16474.98750320 4.81161824
16474.98751490 4.81169196
16474.98752650 4.81176504
16474.98753820 4.81183876
16474.98754980 4.81191184
16474.98756150 4.81198556
16474.98757310 4.81205864
16474.98758480 4.81213235
16474.98759640 4.81220544
16474.98760810 4.81227915
16474.98761970 4.81235224
16474.98763140 4.81242595
16474.98764310 4.81249967
16474.98765470 4.81257275
16474.98766640 4.81264647
16474.98767800 4.81271955
16474.98768970 4.81279327
16474.98770130 4.81286635
16474.98771300 4.81294006
16474.98772460 4.81301315
16474.98773630 4.81308686
16474.98774790 4.81315995
16474.98775960 4.81323366
16474.98777120 4.81330675
16474.98778290 4.81338046
16474.98779450 4.81345355
16474.98780620 4.81352726
16474.98781780 4.81360035
16474.98782950 4.81367406
16474.98784110 4.81374714
16474.98785280 4.81382086
16474.98786440 4.81389394
16474.98787610 4.81396766
16474.98788770 4.81404074
16474.98789940 4.81411446
16474.98791100 4.81418754
16474.98792270 4.81426126
16474.98793430 4.81433434
16474.98794600 4.81440806
16474.98795760 4.81448114
16474.98796930 4.81455485
16474.98798090 4.81462794
16474.98799260 4.81470165
16474.98800420 4.81477474
16474.98801590 4.81484845
16474.98802750 4.81492154
16474.98803920 4.81499525
16474.98805080 4.81506834
16474.98806250 4.81514205
16474.98807410 4.81521513
16474.98808580 4.81528885
16474.98809740 4.81536193
16474.98810910 4.81543565
16474.98812070 4.81550873
16474.98813240 4.81558245
16474.98814400 4.81565553
16474.98815570 4.81572925
16474.98816730 4.81580233
16474.98817900 4.81587605
16474.98819060 4.81594913
16474.98820230 4.81602284
16474.98821390 4.81609593
16474.98822560 4.81616964
16474.98823720 4.81624273
16474.98824890 4.81631644
16474.98826050 4.81638953
16474.98827220 4.81646324
16474.98828380 4.81653633
16474.98829550 4.81661004
16474.98830710 4.81668313
16474.98831880 4.81675684
16474.98833040 4.81682992
16474.98834210 4.81690364
16474.98835370 4.81697672
16474.98836540 4.81705044
16474.98837710 4.81712415
16474.98838870 4.81719724
16474.98840040 4.81727095
16474.98841200 4.81734404
16474.98842370 4.81741775
16474.98843530 4.81749084
16474.98844700 4.81756455
16474.98845860 4.81763763
16474.98847030 4.81771135
16474.98848190 4.81778443
16474.98849360 4.81785815
16474.98850520 4.81793123
16474.98851690 4.81800495
16474.98852850 4.81807803
16474.98854020 4.81815175
16474.98855180 4.81822483
16474.98856350 4.81829854
16474.98857510 4.81837163
16474.98858680 4.81844534
16474.98859840 4.81851843
16474.98861010 4.81859214
16474.98862170 4.81866523
16474.98863340 4.81873894
16474.98864500 4.81881203
16474.98865670 4.81888574
16474.98866830 4.81895883
16474.98868000 4.81903254
16474.98869160 4.81910562
16474.98870330 4.81917934
16474.98871490 4.81925242
16474.98872660 4.81932614
16474.98873820 4.81939922
16474.98874990 4.81947294
16474.98876150 4.81954602
16474.98877320 4.81961974
16474.98878480 4.81969282
16474.98879650 4.81976654
16474.98880810 4.81983962
16474.98881980 4.81991333
16474.98883140 4.81998642
16474.98884310 4.82006013
16474.98885470 4.82013322
16474.98886640 4.82020693
16474.98887800 4.82028002
16474.98888970 4.82035373
16474.98890130 4.82042682
16474.98891300 4.82050053
16474.98892460 4.82057362
16474.98893630 4.82064733
16474.98894790 4.82072041
16474.98895960 4.82079413
16474.98897120 4.82086721
16474.98898290 4.82094093
16474.98899450 4.82101401
16474.98900620 4.82108773
16474.98901780 4.82116081
16474.98902950 4.82123453
16474.98904110 4.82130761
16474.98905280 4.82138133
16474.98906440 4.82145441
16474.98907610 4.82152812
16474.98908770 4.82160121
16474.98909940 4.82167492
16474.98911110 4.82174864
16474.98912270 4.82182172
16474.98913440 4.82189544
16474.98914600 4.82196852
16474.98915770 4.82204224
16474.98916930 4.82211532
16474.98918100 4.82218903
16474.98919260 4.82226212
16474.98920430 4.82233583
16474.98921590 4.82240892
16474.98922760 4.82248263
16474.98923920 4.82255572
16474.98925090 4.82262943
16474.98926250 4.82270252
16474.98927420 4.82277623
16474.98928580 4.82284932
16474.98929750 4.82292303
16474.98930910 4.82299611
