2013-07-27 01:26:00.683 -1
2013-07-27 01:26:00.934 0
2013-07-27 01:26:01.186 1
2013-07-27 01:26:01.438 2
2013-07-27 01:26:01.689 -1
2013-07-27 01:26:01.941 0
2013-07-27 01:26:02.193 1
2013-07-27 01:26:02.444 2
2013-07-27 01:26:02.696 -1
2013-07-27 01:26:02.947 0
2013-07-27 01:26:03.199 1
2013-07-27 01:26:03.451 2
2013-07-27 01:26:03.703 -1
2013-07-27 01:26:03.954 0
2013-07-27 01:26:04.206 1
2013-07-27 01:26:04.457 2
2013-07-27 01:26:04.709 -1
2013-07-27 01:26:04.961 0
2013-07-27 01:26:05.212 1
2013-07-27 01:26:05.464 2
2013-07-27 01:26:05.716 -1
2013-07-27 01:26:05.967 0
2013-07-27 01:26:06.219 1
2013-07-27 01:26:06.471 2
2013-07-27 01:26:06.723 -1
2013-07-27 01:26:06.974 0
2013-07-27 01:26:07.226 1
2013-07-27 01:26:07.477 2
2013-07-27 01:26:07.729 -1
2013-07-27 01:26:07.981 0
2013-07-27 01:26:08.232 1
2013-07-27 01:26:08.484 2
2013-07-27 01:26:08.736 -1
2013-07-27 01:26:08.987 0
2013-07-27 01:26:09.239 1
2013-07-27 01:26:09.490 2
2013-07-27 01:26:09.742 -1
2013-07-27 01:26:09.994 0
2013-07-27 01:26:10.246 1
2013-07-27 01:26:10.497 2
2013-07-27 01:26:10.749 -1
2013-07-27 01:26:11.001 0
2013-07-27 01:26:11.252 1
2013-07-27 01:26:11.504 2
2013-07-27 01:26:11.756 -1
2013-07-27 01:26:12.007 0
2013-07-27 01:26:12.259 1
2013-07-27 01:26:12.510 2
2013-07-27 01:26:12.762 -1
2013-07-27 01:26:13.014 0
2013-07-27 01:26:13.266 1
2013-07-27 01:26:13.517 2
2013-07-27 01:26:13.769 -1
2013-07-27 01:26:14.020 0
2013-07-27 01:26:14.272 1
2013-07-27 01:26:14.524 2
2013-07-27 01:26:14.776 -1
2013-07-27 01:26:15.027 0
2013-07-27 01:26:15.279 1
2013-07-27 01:26:15.530 2
2013-07-27 01:26:15.782 -1
2013-07-27 01:26:16.034 0
2013-07-27 01:26:16.285 1
2013-07-27 01:26:16.537 2
2013-07-27 01:26:16.789 -1
2013-07-27 01:26:17.040 0
2013-07-27 01:26:17.292 1
2013-07-27 01:26:17.544 2
2013-07-27 01:26:17.795 -1
2013-07-27 01:26:18.047 1
2013-07-27 01:26:18.299 0
2013-07-27 01:26:18.550 2
2013-07-27 01:26:18.802 -1
2013-07-27 01:26:19.054 1
2013-07-27 01:26:19.305 0
2013-07-27 01:26:19.557 2
2013-07-27 01:26:19.809 -1
2013-07-27 01:26:20.060 1
2013-07-27 01:26:20.312 0
2013-07-27 01:26:20.563 2
2013-07-27 01:26:20.815 -1
2013-07-27 01:26:21.067 1
2013-07-27 01:26:21.319 0
2013-07-27 01:26:21.570 2
2013-07-27 01:26:21.822 -1
2013-07-27 01:26:22.073 1
2013-07-27 01:26:22.325 0
2013-07-27 01:26:22.577 2
2013-07-27 01:26:22.829 -1
2013-07-27 01:26:23.080 1
2013-07-27 01:26:23.332 0
2013-07-27 01:26:23.583 2
2013-07-27 01:26:23.835 -1
2013-07-27 01:26:24.087 1
2013-07-27 01:26:24.339 0
2013-07-27 01:26:24.590 2
2013-07-27 01:26:24.842 -1
2013-07-27 01:26:25.093 1
2013-07-27 01:26:25.345 0
