['2013', '07', '02', '04', '31', '52', '0.437504', '0']
['2013', '07', '02', '04', '31', '53', '0.444160', '0']
['2013', '07', '02', '04', '31', '54', '0.450816', '0']
['2013', '07', '02', '04', '31', '55', '0.457472', '0']
['2013', '07', '02', '04', '31', '56', '0.464128', '0']
['2013', '07', '02', '04', '31', '57', '0.218880', '0']
['2013', '07', '02', '04', '31', '58', '0.225536', '0']
['2013', '07', '02', '04', '31', '59', '0.232192', '0']
['2013', '07', '02', '04', '32', '00', '0.238848', '0']
['2013', '07', '02', '04', '32', '01', '0.245504', '0']
['2013', '07', '02', '04', '32', '02', '0.252160', '0']
['2013', '07', '02', '04', '32', '03', '0.258816', '0']
['2013', '07', '02', '04', '32', '04', '0.265472', '0']
['2013', '07', '02', '04', '32', '05', '0.271872', '0']
['2013', '07', '02', '04', '32', '06', '0.278528', '0']
['2013', '07', '02', '04', '32', '07', '0.285184', '0']
['2013', '07', '02', '04', '32', '08', '0.291840', '0']
['2013', '07', '02', '04', '32', '09', '0.298496', '0']
['2013', '07', '02', '04', '32', '10', '0.305152', '0']
['2013', '07', '02', '04', '32', '11', '0.311808', '0']
['2013', '07', '02', '04', '32', '12', '0.318464', '0']
['2013', '07', '02', '04', '32', '13', '0.325120', '0']
['2013', '07', '02', '04', '32', '14', '0.331776', '0']
['2013', '07', '02', '04', '32', '15', '0.338176', '0']
['2013', '07', '02', '04', '32', '16', '0.344832', '0']
['2013', '07', '02', '04', '32', '17', '0.351488', '0']
['2013', '07', '02', '04', '32', '18', '0.358144', '0']
['2013', '07', '02', '04', '32', '19', '0.364800', '0']
['2013', '07', '02', '04', '32', '20', '0.371456', '0']
['2013', '07', '02', '04', '32', '21', '0.378112', '0']
['2013', '07', '02', '04', '32', '22', '0.384768', '0']
['2013', '07', '02', '04', '32', '23', '0.391424', '0']
['2013', '07', '02', '04', '32', '24', '0.398080', '0']
['2013', '07', '02', '04', '32', '25', '0.404736', '0']
['2013', '07', '02', '04', '32', '26', '0.411136', '0']
['2013', '07', '02', '04', '32', '27', '0.417792', '0']
['2013', '07', '02', '04', '32', '28', '0.424448', '0']
['2013', '07', '02', '04', '32', '29', '0.431104', '0']
['2013', '07', '02', '04', '32', '30', '0.437760', '0']
['2013', '07', '02', '04', '32', '31', '0.444416', '0']
['2013', '07', '02', '04', '32', '32', '0.451072', '0']
['2013', '07', '02', '04', '32', '33', '0.457728', '0']
['2013', '07', '02', '04', '32', '34', '0.464384', '0']
['2013', '07', '02', '04', '32', '35', '0.471040', '0']
['2013', '07', '02', '04', '32', '36', '0.477696', '0']
['2013', '07', '02', '04', '32', '37', '0.484096', '0']
['2013', '07', '02', '04', '32', '38', '0.490752', '0']
['2013', '07', '02', '04', '32', '39', '0.246016', '0']
['2013', '07', '02', '04', '32', '40', '0.252672', '0']
['2013', '07', '02', '04', '32', '41', '0.259328', '0']
['2013', '07', '02', '04', '32', '42', '0.265728', '0']
['2013', '07', '02', '04', '32', '43', '0.272384', '0']
['2013', '07', '02', '04', '32', '44', '0.279040', '0']
['2013', '07', '02', '04', '32', '45', '0.285696', '0']
['2013', '07', '02', '04', '32', '46', '0.292352', '0']
['2013', '07', '02', '04', '32', '47', '0.299008', '0']
['2013', '07', '02', '04', '32', '48', '0.305664', '0']
['2013', '07', '02', '04', '32', '49', '0.312320', '0']
['2013', '07', '02', '04', '32', '50', '0.318976', '0']
['2013', '07', '02', '04', '32', '51', '0.325632', '0']
['2013', '07', '02', '04', '32', '52', '0.332288', '0']
['2013', '07', '02', '04', '32', '53', '0.338944', '0']
['2013', '07', '02', '04', '32', '54', '0.345600', '0']
['2013', '07', '02', '04', '32', '55', '0.352000', '0']
['2013', '07', '02', '04', '32', '56', '0.358656', '0']
['2013', '07', '02', '04', '32', '57', '0.365312', '0']
['2013', '07', '02', '04', '32', '58', '0.371968', '0']
['2013', '07', '02', '04', '32', '59', '0.378624', '0']
['2013', '07', '02', '04', '33', '00', '0.385280', '0']
['2013', '07', '02', '04', '33', '01', '0.391936', '0']
['2013', '07', '02', '04', '33', '02', '0.398592', '0']
['2013', '07', '02', '04', '33', '03', '0.404992', '0']
['2013', '07', '02', '04', '33', '04', '0.411648', '0']
['2013', '07', '02', '04', '33', '05', '0.418304', '0']
['2013', '07', '02', '04', '33', '06', '0.424960', '0']
['2013', '07', '02', '04', '33', '07', '0.431616', '0']
['2013', '07', '02', '04', '33', '08', '0.438272', '0']
['2013', '07', '02', '04', '33', '09', '0.444928', '0']
['2013', '07', '02', '04', '33', '10', '0.451584', '0']
['2013', '07', '02', '04', '33', '11', '0.458240', '0']
['2013', '07', '02', '04', '33', '12', '0.464896', '0']
['2013', '07', '02', '04', '33', '13', '0.471552', '0']
['2013', '07', '02', '04', '33', '14', '0.478208', '0']
['2013', '07', '02', '04', '33', '15', '0.736256', '0']
['2013', '07', '02', '04', '33', '16', '0.742912', '0']
['2013', '07', '02', '04', '33', '17', '0.749568', '0']
['2013', '07', '02', '04', '33', '18', '0.756224', '0']
['2013', '07', '02', '04', '33', '19', '0.762880', '0']
['2013', '07', '02', '04', '33', '20', '0.769280', '0']
['2013', '07', '02', '04', '33', '21', '0.775936', '0']
['2013', '07', '02', '04', '33', '22', '0.782592', '0']
['2013', '07', '02', '04', '33', '23', '0.789248', '0']
['2013', '07', '02', '04', '33', '24', '0.795904', '0']
['2013', '07', '02', '04', '33', '25', '0.802560', '0']
['2013', '07', '02', '04', '33', '26', '0.809216', '0']
['2013', '07', '02', '04', '33', '27', '0.815872', '0']
['2013', '07', '02', '04', '33', '28', '0.822528', '0']
['2013', '07', '02', '04', '33', '29', '0.829184', '0']
['2013', '07', '02', '04', '33', '30', '0.835840', '0']
['2013', '07', '02', '04', '33', '31', '0.842240', '0']
['2013', '07', '02', '04', '33', '32', '0.848896', '0']
['2013', '07', '02', '04', '33', '33', '0.855552', '0']
['2013', '07', '02', '04', '33', '34', '0.862208', '0']
['2013', '07', '02', '04', '33', '35', '0.868864', '0']
['2013', '07', '02', '04', '33', '36', '0.875520', '0']
['2013', '07', '02', '04', '33', '37', '0.882176', '0']
['2013', '07', '02', '04', '33', '38', '0.888832', '0']
['2013', '07', '02', '04', '33', '39', '0.895488', '0']
['2013', '07', '02', '04', '33', '40', '0.902144', '0']
['2013', '07', '02', '04', '33', '41', '0.908800', '0']
['2013', '07', '02', '04', '33', '42', '0.915200', '0']
['2013', '07', '02', '04', '33', '43', '0.921856', '0']
['2013', '07', '02', '04', '33', '44', '0.928512', '0']
['2013', '07', '02', '04', '33', '45', '0.935168', '0']
['2013', '07', '02', '04', '33', '46', '0.941824', '0']
['2013', '07', '02', '04', '33', '47', '0.948480', '0']
