2 0 1  
2 0 0  
3 3 1  
3 3 0  
4 2 1  
4 2 0  
5 1 1  
5 1 0  
6 0 1  
6 0 0  
7 3 1  
7 3 0  
8 2 1  
8 2 0  
9 1 1  
9 1 0  
10 0 1  
10 0 0  
11 3 1  
11 3 0  
12 2 1  
12 2 0  
13 1 1  
13 1 0  
14 0 1  
14 0 0  
15 3 1  
15 3 0  
16 2 1  
16 2 0  
17 1 1  
17 1 0  
18 0 1  
18 0 0  
19 3 1  
19 3 0  
20 2 1  
20 2 0  
21 1 1  
21 1 0  
22 0 1  
22 0 0  
23 3 1  
23 3 0  
24 2 1  
24 2 0  
25 1 1  
25 1 0  
26 0 1  
26 0 0  
27 3 1  
27 3 0  
28 2 1  
28 2 0  
29 1 1  
29 1 0  
30 0 1  
30 0 0  
31 3 1  
31 3 0  
32 2 1  
32 2 0  
33 1 1  
33 1 0  
34 0 1  
34 0 0  
35 3 1  
35 3 0  
36 2 1  
36 2 0  
37 1 1  
37 1 0  
38 0 1  
38 0 0  
39 3 1  
39 3 0  
40 2 1  
40 2 0  
41 1 1  
41 1 0  
42 0 1  
42 0 0  
43 3 1  
43 3 0  
44 2 1  
44 2 0  
45 1 1  
45 1 0  
46 0 1  
46 0 0  
47 3 1  
47 3 0  
48 2 1  
48 2 0  
49 1 1  
49 1 0  
50 0 1  
50 0 0  
51 3 1  
51 3 0  
52 2 1  
52 2 0  
53 1 1  
53 1 0  
54 0 1  
54 0 0  
55 3 1  
55 3 0  
56 2 1  
56 2 0  
57 1 1  
57 1 0  
58 0 1  
58 0 0  
59 3 1  
59 3 0  
60 2 1  
60 2 0  
61 1 1  
61 1 0  
62 0 1  
62 0 0  
63 3 1  
63 3 0  
64 2 1  
64 2 0  
65 1 1  
65 1 0  
66 0 1  
66 0 0  
67 3 1  
67 3 0  
68 2 1  
68 2 0  
69 1 1  
69 1 0  
70 0 1  
70 0 0  
71 3 1  
71 3 0  
72 2 1  
72 2 0  
73 1 1  
73 1 0  
74 0 1  
74 0 0  
75 3 1  
75 3 0  
76 2 1  
76 2 0  
77 1 1  
77 1 0  
78 0 1  
78 0 0  
79 3 1  
79 3 0  
80 2 1  
80 2 0  
81 1 1  
81 1 0  
82 0 1  
82 0 0  
83 3 1  
83 3 0  
84 2 1  
84 2 0  
85 1 1  
85 1 0  
86 0 1  
86 0 0  
87 3 1  
87 3 0  
88 2 1  
88 2 0  
89 1 1  
89 1 0  
90 0 1  
90 0 0  
91 3 1  
91 3 0  
92 2 1  
92 2 0  
93 1 1  
93 0 0  
94 0 1  
94 1 0  
95 3 1  
95 3 0  
96 2 1  
96 2 0  
97 1 1  
97 0 0  
98 0 1  
98 1 0  
99 3 1  
99 3 0  
100 2 1  
100 2 0  
101 1 1  
101 0 0  
102 0 1  
102 1 0  
103 3 1  
103 3 0  
104 2 1  
104 2 0  
105 1 1  
105 0 0  
106 0 1  
106 1 0  
107 3 1  
107 3 0  
108 2 1  
108 2 0  
109 1 1  
109 0 0  
110 0 1  
110 1 0  
111 3 1  
111 3 0  
112 2 1  
112 2 0  
113 1 1  
113 0 0  
114 0 1  
114 1 0  
115 3 1  
115 3 0  
116 2 1  
116 2 0  
117 1 1  
117 0 0  
118 0 1  
118 1 0  
119 3 1  
119 3 0  
120 2 1  
120 2 0  
121 1 1  
121 0 0  
122 0 1  
122 1 0  
123 3 1  
123 3 0  
124 2 1  
124 2 0  
125 1 1  
125 0 0  
126 0 1  
126 1 0  
127 3 1  
127 3 0  
128 2 1  
128 2 0  
129 1 1  
129 0 0  
130 0 1  
130 1 0  
131 3 1  
131 3 0  
132 1 1  
132 2 0  
133 2 1  
133 0 0  
134 0 1  
134 1 0  
135 3 1  
135 3 0  
136 1 1  
136 2 0  
137 2 1  
137 0 0  
138 0 1  
138 1 0  
139 3 1  
139 3 0  
140 1 1  
140 2 0  
141 2 1  
141 0 0  
142 0 1  
142 1 0  
143 3 1  
143 3 0  
144 1 1  
144 2 0  
145 2 1  
145 0 0  
146 0 1  
146 1 0  
147 3 1  
147 3 0  
148 1 1  
148 2 0  
149 0 1  
149 0 0  
150 2 1  
150 1 0  
151 3 1  
151 3 0  
152 1 1  
152 2 0  
153 0 1  
153 0 0  
154 2 1  
154 1 0  
155 3 1  
155 3 0  
