2 3 1  
148 3 0 duplicate
148 2 1 duplicate
149 0 0 duplicate
149 0 1 duplicate
150 1 0 duplicate
150 1 1 duplicate
151 2 0 duplicate
151 3 1 duplicate
152 3 0 duplicate
152 2 1 duplicate
153 0 0 duplicate
153 0 1 duplicate
154 1 0 duplicate
154 1 1 duplicate
155 2 0 duplicate
155 3 1 duplicate
156 3 0 duplicate
156 2 1 duplicate
157 0 0 duplicate
157 0 1 duplicate
158 1 0 duplicate
158 1 1 duplicate
159 2 0 duplicate
159 3 1 duplicate
160 3 0 duplicate
160 2 1 duplicate
161 0 0 duplicate
161 0 1 duplicate
162 1 0 duplicate
162 1 1 duplicate
163 2 0 duplicate
163 3 1 duplicate
164 3 0 duplicate
164 2 1 duplicate
165 0 0 duplicate
165 0 1 duplicate
166 1 0 duplicate
166 1 1 duplicate
167 2 0 duplicate
167 3 1 duplicate
168 3 0 duplicate
168 2 1 duplicate
169 0 0 duplicate
169 0 1 duplicate
170 1 0 duplicate
170 1 1 duplicate
171 3 0 duplicate
171 3 1 duplicate
172 2 0 duplicate
172 2 1 duplicate
173 0 0 duplicate
173 0 1 duplicate
174 1 0 duplicate
174 1 1 duplicate
175 3 0 duplicate
175 3 1 duplicate
176 2 0 duplicate
176 2 1 duplicate
177 0 0 duplicate
177 0 1 duplicate
178 1 0 duplicate
178 1 1 duplicate
179 3 0 duplicate
179 3 1 duplicate
180 2 0 duplicate
180 2 1 duplicate
181 0 0 duplicate
181 0 1 duplicate
182 1 0 duplicate
182 1 1 duplicate
183 3 0 duplicate
183 3 1 duplicate
184 2 0 duplicate
184 2 1 duplicate
185 0 0 duplicate
185 0 1 duplicate
186 1 0 duplicate
186 1 1 duplicate
187 3 0 duplicate
187 3 1 duplicate
188 2 0 duplicate
188 2 1 duplicate
189 0 0 duplicate
189 0 1 duplicate
190 1 0 duplicate
190 1 1 duplicate
191 3 0 duplicate
191 3 1 duplicate
192 2 0 duplicate
192 2 1 duplicate
193 0 0 duplicate
193 0 1 duplicate
194 1 0 duplicate
194 1 1 duplicate
195 3 0 duplicate
195 3 1 duplicate
196 2 0 duplicate
196 2 1 duplicate
197 0 0 duplicate
197 0 1 duplicate
198 1 0 duplicate
198 1 1 duplicate
199 3 0 duplicate
199 3 1 duplicate
200 2 0 duplicate
200 2 1 duplicate
201 0 0 duplicate
201 0 1 duplicate
202 1 0 duplicate
202 1 1 duplicate
203 3 0 duplicate
203 3 1 duplicate
204 2 0 duplicate
204 2 1 duplicate
205 0 0 duplicate
205 0 1 duplicate
206 1 0 duplicate
206 1 1 duplicate
207 3 0 duplicate
207 3 1 duplicate
208 2 0 duplicate
208 2 1 duplicate
209 0 0 duplicate
209 0 1 duplicate
210 1 0 duplicate
210 1 1 duplicate
211 3 0 duplicate
211 3 1 duplicate
212 2 0 duplicate
212 2 1 duplicate
213 0 0 duplicate
213 0 1 duplicate
214 1 0 duplicate
214 1 1 duplicate
215 3 0 duplicate
215 3 1 duplicate
216 2 0 duplicate
216 2 1 duplicate
217 0 0 duplicate
217 0 1 duplicate
218 1 0 duplicate
218 1 1 duplicate
219 3 0 duplicate
219 3 1 duplicate
220 2 0 duplicate
220 2 1 duplicate
221 0 0 duplicate
221 0 1 duplicate
222 1 0 duplicate
222 1 1 duplicate
223 3 0 duplicate
223 3 1 duplicate
224 2 0 duplicate
224 2 1 duplicate
225 0 0 duplicate
225 0 1 duplicate
226 1 0 duplicate
226 1 1 duplicate
227 3 0 duplicate
227 3 1 duplicate
228 2 0 duplicate
228 2 1 duplicate
229 0 0 duplicate
229 0 1 duplicate
230 1 0 duplicate
230 1 1 duplicate
231 3 0 duplicate
231 3 1 duplicate
232 2 0 duplicate
232 2 1 duplicate
233 0 0 duplicate
233 0 1 duplicate
234 1 0 duplicate
234 1 1 duplicate
235 3 0 duplicate
235 3 1 duplicate
236 2 0 duplicate
236 2 1 duplicate
237 0 0 duplicate
237 0 1 duplicate
238 1 0 duplicate
238 1 1 duplicate
239 3 0 duplicate
239 3 1 duplicate
240 2 0 duplicate
240 2 1 duplicate
241 0 0 duplicate
241 0 1 duplicate
242 1 0 duplicate
242 1 1 duplicate
243 3 0 duplicate
243 3 1 duplicate
244 2 0 duplicate
244 2 1 duplicate
245 0 0 duplicate
245 0 1 duplicate
246 1 0 duplicate
246 1 1 duplicate
247 3 0 duplicate
247 3 1 duplicate
248 2 0 duplicate
248 2 1 duplicate
249 0 0 duplicate
249 0 1 duplicate
250 1 0 duplicate
250 1 1 duplicate
251 3 0 duplicate
251 3 1 duplicate
252 2 0 duplicate
252 2 1 duplicate
253 0 0 duplicate
253 0 1 duplicate
254 1 0 duplicate
254 1 1 duplicate
255 3 0 duplicate
255 3 1 duplicate
256 2 0 duplicate
256 2 1 duplicate
257 0 0 duplicate
257 0 1 duplicate
258 1 0 duplicate
258 1 1 duplicate
259 3 0 duplicate
259 3 1 duplicate
260 2 0 duplicate
260 2 1 duplicate
261 0 0 duplicate
261 0 1 duplicate
262 1 0 duplicate
262 3 1 duplicate
263 3 0 duplicate
263 1 1 duplicate
264 2 0 duplicate
264 2 1 duplicate
265 0 0 duplicate
265 0 1 duplicate
266 1 0 duplicate
266 3 1 duplicate
267 3 0 duplicate
267 1 1 duplicate
268 2 0 duplicate
268 2 1 duplicate
269 0 0 duplicate
269 0 1 duplicate
270 1 0 duplicate
270 3 1 duplicate
271 3 0 duplicate
271 1 1 duplicate
272 2 0 duplicate
272 2 1 duplicate
273 0 0 duplicate
273 0 1 duplicate
274 1 0 duplicate
274 3 1 duplicate
275 3 0 duplicate
275 1 1 duplicate
276 2 0 duplicate
276 2 1 duplicate
277 0 0 duplicate
277 3 1 duplicate
278 1 0 duplicate
278 0 1 duplicate
279 3 0 duplicate
279 1 1 duplicate
280 2 0 duplicate
280 2 1 duplicate
281 0 0 duplicate
281 3 1 duplicate
282 1 0 duplicate
282 0 1 duplicate
283 3 0 duplicate
283 1 1 duplicate
284 2 0 duplicate
284 2 1 duplicate
285 0 0 duplicate
285 3 1 duplicate
286 1 0 duplicate
286 0 1 duplicate
287 3 0 duplicate
287 1 1 duplicate
288 2 0 duplicate
288 2 1 duplicate
289 0 0 duplicate
289 3 1 duplicate
290 1 0 duplicate
290 0 1 duplicate
291 3 0 duplicate
291 1 1 duplicate
292 2 0 duplicate
292 2 1 duplicate
293 0 0 duplicate
293 3 1 duplicate
294 1 0 duplicate
294 0 1 duplicate
295 3 0 duplicate
295 1 1 duplicate
296 2 0 duplicate
296 2 1 duplicate
297 0 0 duplicate
297 3 1 duplicate
298 1 0 duplicate
298 0 1 duplicate
299 3 0 duplicate
299 1 1 duplicate
300 2 0 duplicate
300 3 1 duplicate
301 0 0 duplicate
301 2 1 duplicate
302 1 0 duplicate
302 0 1 duplicate
303 3 0 duplicate
303 3 1 duplicate
304 2 0 duplicate
304 1 1 duplicate
305 0 0 duplicate
305 2 1 duplicate
306 1 0 duplicate
306 0 1 duplicate
307 3 0 duplicate
307 3 1 duplicate
308 2 0 duplicate
308 1 1 duplicate
309 0 0 duplicate
309 2 1 duplicate
310 1 0 duplicate
310 0 1 duplicate
311 3 0 duplicate
311 3 1 duplicate
312 2 0 duplicate
312 1 1 duplicate
313 0 0 duplicate
313 2 1 duplicate
314 1 0 duplicate
314 0 1 duplicate
315 3 0 duplicate
315 3 1 duplicate
316 2 0 duplicate
316 1 1 duplicate
317 0 0 duplicate
317 2 1 duplicate
318 1 0 duplicate
318 0 1 duplicate
319 3 0 duplicate
319 3 1 duplicate
320 2 0 duplicate
320 1 1 duplicate
321 0 0 duplicate
321 2 1 duplicate
322 1 0 duplicate
322 0 1 duplicate
323 3 0 duplicate
323 3 1 duplicate
324 2 0 duplicate
324 1 1 duplicate
325 0 0 duplicate
325 2 1 duplicate
326 1 0 duplicate
326 3 1 duplicate
327 3 0 duplicate
327 0 1 duplicate
328 2 0 duplicate
328 2 1 duplicate
329 0 0 duplicate
329 1 1 duplicate
330 1 0 duplicate
