16471.93264650 4.41439005
16471.93265820 4.41446376
16471.93266980 4.41453685
16471.93268150 4.41461056
16471.93269310 4.41468364
16471.93270480 4.41475736
16471.93271640 4.41483044
16471.93272810 4.41490416
16471.93273970 4.41497724
16471.93275140 4.41505096
16471.93276300 4.41512404
16471.93277470 4.41519776
16471.93278630 4.41527084
16471.93279800 4.41534456
16471.93280960 4.41541764
16471.93282130 4.41549135
16471.93283000 4.41554617
16471.93284170 4.41561988
16471.93285330 4.41569297
16471.93286500 4.41576668
16471.93287660 4.41583977
16471.93288830 4.41591348
16471.93289990 4.41598656
16471.93291160 4.41606028
16471.93292320 4.41613336
16471.93293490 4.41620708
16471.93294650 4.41628016
16471.93295820 4.41635388
16471.93296980 4.41642696
16471.93298150 4.41650068
16471.93299310 4.41657376
16471.93300480 4.41664748
16471.93301640 4.41672056
16471.93302810 4.41679427
16471.93303970 4.41686736
16471.93305140 4.41694107
16471.93306300 4.41701416
16471.93307470 4.41708787
16471.93308630 4.41716096
16471.93309800 4.41723467
16471.93310960 4.41730776
16471.93312130 4.41738147
16471.93313290 4.41745456
16471.93314460 4.41752827
16471.93315630 4.41760198
16471.93316790 4.41767507
16471.93317960 4.41774878
16471.93319120 4.41782187
16471.93320290 4.41789558
16471.93321450 4.41796867
16471.93322620 4.41804238
16471.93323780 4.41811547
16471.93324950 4.41818918
16471.93326110 4.41826227
16471.93327280 4.41833598
16471.93328440 4.41840906
16471.93329610 4.41848278
16471.93330770 4.41855586
16471.93331940 4.41862958
16471.93333100 4.41870266
16471.93334270 4.41877638
16471.93335430 4.41884946
16471.93336600 4.41892318
16471.93337760 4.41899626
16471.93338930 4.41906997
16471.93340090 4.41914306
16471.93341260 4.41921677
16471.93342420 4.41928986
16471.93343590 4.41936357
16471.93344750 4.41943666
16471.93345920 4.41951037
16471.93347080 4.41958346
16471.93348250 4.41965717
16471.93349410 4.41973026
16471.93350580 4.41980397
16471.93351740 4.41987705
16471.93352910 4.41995077
16471.93354070 4.42002385
16471.93355240 4.42009757
16471.93356400 4.42017065
16471.93357280 4.42022610
16471.93358440 4.42029918
16471.93359610 4.42037290
16471.93360770 4.42044598
16471.93361940 4.42051969
16471.93363100 4.42059278
16471.93364270 4.42066649
16471.93365430 4.42073958
16471.93366600 4.42081329
16471.93367760 4.42088638
16471.93368930 4.42096009
16471.93370090 4.42103318
16471.93371260 4.42110689
16471.93372420 4.42117998
16471.93373590 4.42125369
16471.93374750 4.42132677
16471.93375920 4.42140049
16471.93377080 4.42147357
16471.93378250 4.42154729
16471.93379410 4.42162037
16471.93380580 4.42169409
16471.93381740 4.42176717
16471.93382910 4.42184089
16471.93384070 4.42191397
16471.93385240 4.42198768
16471.93386400 4.42206077
16471.93387570 4.42213448
16471.93388730 4.42220757
16471.93389900 4.42228128
16471.93391060 4.42235437
16471.93392230 4.42242808
16471.93393390 4.42250117
16471.93394560 4.42257488
16471.93395720 4.42264797
16471.93396890 4.42272168
16471.93398050 4.42279476
16471.93399220 4.42286848
16471.93400380 4.42294156
16471.93401550 4.42301528
16471.93402720 4.42308899
16471.93403880 4.42316208
16471.93405050 4.42323579
16471.93406210 4.42330888
16471.93407380 4.42338259
16471.93408540 4.42345568
16471.93409710 4.42352939
16471.93410870 4.42360247
16471.93412040 4.42367619
16471.93413200 4.42374927
16471.93414370 4.42382299
16471.93415530 4.42389607
16471.93416700 4.42396979
16471.93417860 4.42404287
16471.93419030 4.42411659
16471.93420190 4.42418967
16471.93421360 4.42426339
16471.93422520 4.42433647
16471.93423690 4.42441018
16471.93424850 4.42448327
16471.93426020 4.42455698
16471.93427180 4.42463007
16471.93428350 4.42470378
16471.93429510 4.42477687
16471.93430680 4.42485058
16471.93431840 4.42492367
16471.93433010 4.42499738
16471.93434170 4.42507046
16471.93435340 4.42514418
16471.93436500 4.42521726
16471.93437670 4.42529098
16471.93438830 4.42536406
16471.93440000 4.42543778
16471.93440870 4.42549259
16471.93442040 4.42556631
16471.93443200 4.42563939
16471.93444370 4.42571310
16471.93445530 4.42578619
16471.93446700 4.42585990
16471.93447860 4.42593299
16471.93449030 4.42600670
16471.93450190 4.42607979
16471.93451360 4.42615350
16471.93452520 4.42622659
16471.93453690 4.42630030
16471.93454850 4.42637339
16471.93456020 4.42644710
16471.93457180 4.42652018
16471.93458350 4.42659390
16471.93459510 4.42666698
16471.93460680 4.42674070
16471.93461840 4.42681378
16471.93463010 4.42688750
16471.93464170 4.42696058
16471.93465340 4.42703430
16471.93466500 4.42710738
16471.93467670 4.42718110
16471.93468830 4.42725418
16471.93470000 4.42732789
16471.93471160 4.42740098
16471.93472330 4.42747469
16471.93473490 4.42754778
16471.93474660 4.42762149
16471.93475820 4.42769458
16471.93476990 4.42776829
16471.93478150 4.42784138
16471.93479320 4.42791509
16471.93480480 4.42798817
16471.93481650 4.42806189
16471.93482810 4.42813497
16471.93483980 4.42820869
16471.93485140 4.42828177
16471.93486310 4.42835549
16471.93487470 4.42842857
16471.93488640 4.42850229
16471.93489800 4.42857537
16471.93490970 4.42864909
16471.93492130 4.42872217
16471.93493300 4.42879588
16471.93494470 4.42886960
16471.93495630 4.42894268
16471.93496800 4.42901640
16471.93497960 4.42908948
16471.93499130 4.42916320
16471.93500290 4.42923628
16471.93501460 4.42931000
16471.93502620 4.42938308
16471.93503790 4.42945680
16471.93504950 4.42952988
16471.93506120 4.42960359
16471.93507280 4.42967668
16471.93508450 4.42975039
16471.93509610 4.42982348
16471.93510780 4.42989719
16471.93511940 4.42997028
16471.93513110 4.43004399
